train_number,station_code,timestamp,scheduled_arrival,scheduled_departure,actual_arrival,speed_kmph,signal_aspect,rolling_stock_health,weather_condition
12038,VAPI,2025-09-13 08:17:00,2025-09-13 08:20:00,2025-09-13 08:27:00,2025-09-13 08:19:00,40.9,YELLOW,0.89,storm
12357,ST,2025-09-20 01:50:00,2025-09-20 01:52:00,2025-09-20 01:58:00,2025-09-20 02:18:00,49.1,RED,0.94,fog
12017,SDAH,2025-09-15 18:24:00,2025-09-15 18:29:00,2025-09-15 18:34:00,2025-09-15 18:33:00,52.0,GREEN,0.8,clear
12513,SDAH,2025-09-13 17:52:00,2025-09-13 17:56:00,2025-09-13 18:01:00,2025-09-13 18:08:00,31.1,YELLOW,0.87,rain
12858,ST,2025-09-06 20:59:00,2025-09-06 21:04:00,2025-09-06 21:11:00,2025-09-06 21:21:00,36.3,RED,0.97,fog
12380,NDLS,2025-09-06 02:57:00,2025-09-06 02:58:00,2025-09-06 03:01:00,2025-09-06 03:00:00,38.7,YELLOW,0.95,clear
12667,SDAH,2025-09-06 05:58:00,2025-09-06 06:00:00,2025-09-06 06:04:00,2025-09-06 06:03:00,44.3,RED,0.92,clear
12389,PNBE,2025-09-20 01:23:00,2025-09-20 01:27:00,2025-09-20 01:32:00,2025-09-20 01:49:00,48.4,RED,0.86,clear
12246,HWH,2025-09-03 08:05:00,2025-09-03 08:10:00,2025-09-03 08:13:00,2025-09-03 08:27:00,35.2,GREEN,0.82,clear
12661,ST,2025-09-08 01:58:00,2025-09-08 02:02:00,2025-09-08 02:06:00,2025-09-08 02:00:00,64.6,GREEN,0.91,clear
12203,BCT,2025-09-20 23:13:00,2025-09-20 23:18:00,2025-09-20 23:22:00,2025-09-20 23:36:00,46.9,RED,0.85,rain
12779,BCT,2025-09-10 14:36:00,2025-09-10 14:39:00,2025-09-10 14:49:00,2025-09-10 15:01:00,35.0,YELLOW,0.89,storm
12415,ST,2025-09-05 23:14:00,2025-09-05 23:16:00,2025-09-05 23:24:00,2025-09-05 23:30:00,41.9,YELLOW,0.87,clear
12754,NDLS,2025-09-05 18:19:00,2025-09-05 18:20:00,2025-09-05 18:27:00,2025-09-05 18:33:00,41.7,RED,0.97,rain
12236,VAPI,2025-09-19 16:40:00,2025-09-19 16:42:00,2025-09-19 16:51:00,2025-09-19 16:48:00,36.1,RED,0.86,storm
12868,SDAH,2025-09-09 04:31:00,2025-09-09 04:34:00,2025-09-09 04:43:00,2025-09-09 04:46:00,27.0,RED,0.86,clear
12945,NDLS,2025-09-04 12:03:00,2025-09-04 12:06:00,2025-09-04 12:10:00,2025-09-04 12:30:00,45.8,GREEN,0.91,fog
12430,CNB,2025-09-16 05:57:00,2025-09-16 05:59:00,2025-09-16 06:07:00,2025-09-16 06:16:00,58.2,GREEN,0.89,clear
12523,ST,2025-09-07 17:19:00,2025-09-07 17:23:00,2025-09-07 17:27:00,2025-09-07 17:46:00,54.5,GREEN,0.85,rain
12971,ALD,2025-09-07 21:41:00,2025-09-07 21:44:00,2025-09-07 21:53:00,2025-09-07 21:51:00,49.6,GREEN,0.82,rain
12831,HWH,2025-09-17 10:09:00,2025-09-17 10:13:00,2025-09-17 10:21:00,2025-09-17 10:37:00,50.0,YELLOW,0.91,rain
12548,BCT,2025-09-02 22:06:00,2025-09-02 22:10:00,2025-09-02 22:13:00,2025-09-02 22:39:00,60.7,GREEN,0.89,storm
12621,HWH,2025-09-08 03:27:00,2025-09-08 03:31:00,2025-09-08 03:39:00,2025-09-08 03:35:00,34.9,YELLOW,0.91,clear
12949,VAPI,2025-09-13 04:03:00,2025-09-13 04:07:00,2025-09-13 04:11:00,2025-09-13 04:27:00,52.3,YELLOW,0.97,storm
12806,HWH,2025-09-04 21:28:00,2025-09-04 21:31:00,2025-09-04 21:36:00,2025-09-04 21:33:00,32.9,GREEN,0.89,fog
12511,VAPI,2025-09-11 07:49:00,2025-09-11 07:52:00,2025-09-11 07:56:00,2025-09-11 08:17:00,46.2,RED,0.97,rain
12395,VAPI,2025-09-20 01:15:00,2025-09-20 01:16:00,2025-09-20 01:24:00,2025-09-20 01:26:00,37.0,YELLOW,0.97,rain
12754,ALD,2025-09-18 13:46:00,2025-09-18 13:49:00,2025-09-18 13:55:00,2025-09-18 14:03:00,45.7,GREEN,0.83,rain
12130,HWH,2025-09-04 03:21:00,2025-09-04 03:24:00,2025-09-04 03:33:00,2025-09-04 03:52:00,34.5,YELLOW,0.85,fog
12749,PNBE,2025-09-19 21:45:00,2025-09-19 21:49:00,2025-09-19 21:54:00,2025-09-19 22:18:00,41.4,GREEN,0.94,fog
12099,PNBE,2025-09-10 14:36:00,2025-09-10 14:38:00,2025-09-10 14:43:00,2025-09-10 14:42:00,57.0,GREEN,0.95,fog
12604,ALD,2025-09-02 04:25:00,2025-09-02 04:29:00,2025-09-02 04:33:00,2025-09-02 04:27:00,31.5,YELLOW,0.91,rain
12531,MGS,2025-09-14 13:53:00,2025-09-14 13:57:00,2025-09-14 14:00:00,2025-09-14 14:14:00,46.0,GREEN,0.85,clear
